                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.79323,                 1.3545,                0.58293,                 1.0037,                0.86264,                0.79077,                0.82583,                 0.6081,                0.87396,                0.77217,                0.81204,                0.50867,                 1.0509,                 1.8907,                0.81027,                 1.1953,             0.00030521,             0.00030521,             0.00030521
                     35,                0.77796,                 1.3505,                 0.5616,                0.98641,                0.84879,                0.80499,                0.82416,                0.60328,                0.83967,                0.79748,                0.81385,                0.49952,                 1.0469,                 1.8886,                0.80285,                 1.1816,             0.00028872,             0.00028872,             0.00028872
                     36,                0.77227,                 1.3334,                0.56306,                0.97919,                0.84434,                 0.7966,                0.82031,                0.60457,                0.85398,                0.78013,                0.81302,                0.50664,                 1.0446,                 1.8538,                 0.8049,                 1.1884,             0.00027222,             0.00027222,             0.00027222
                     37,                0.76292,                  1.317,                 0.5533,                0.98152,                0.83613,                0.79758,                0.82405,                0.61064,                0.82133,                0.78688,                0.80801,                0.50523,                 1.0392,                 1.9391,                0.79734,                 1.1921,             0.00025573,             0.00025573,             0.00025573
                     38,                0.75265,                 1.2952,                0.54602,                0.98546,                0.83685,                0.80939,                0.82306,                0.60578,                  0.844,                0.79867,                0.81457,                0.50646,                 1.0452,                 1.9214,                0.78878,                 1.1997,             0.00023924,             0.00023924,             0.00023924
                     39,                0.74673,                 1.2872,                0.54032,                0.97546,                0.84377,                0.81362,                0.82785,                0.60914,                0.82255,                0.81591,                 0.8078,                0.51312,                 1.0412,                 1.9173,                0.79095,                  1.191,             0.00022274,             0.00022274,             0.00022274
                     40,                0.74209,                 1.2916,                0.53203,                0.97925,                 0.8503,                 0.8018,                0.83262,                0.61745,                0.84439,                0.80121,                0.82618,                0.52509,                 1.0323,                 1.8537,                0.76257,                 1.1858,             0.00020625,             0.00020625,             0.00020625
                     41,                0.76479,                  1.217,                0.53011,                0.97889,                0.84223,                0.80869,                0.83043,                 0.6105,                0.84281,                0.80823,                 0.8283,                0.50637,                 1.0413,                  1.918,                0.77623,                 1.1999,             0.00018976,             0.00018976,             0.00018976
                     42,                0.75868,                 1.1863,                0.51258,                0.97727,                0.84159,                0.81048,                0.83015,                0.61489,                0.83589,                0.80321,                0.81922,                0.51373,                 1.0334,                 1.8774,                0.76578,                 1.1937,             0.00017326,             0.00017326,             0.00017326
                     43,                0.73765,                 1.1438,                0.49266,                0.96665,                0.84139,                0.78988,                0.82706,                0.61438,                0.81171,                0.81051,                0.81774,                0.50895,                 1.0251,                 1.8922,                0.76817,                 1.1876,             0.00015677,             0.00015677,             0.00015677
                     44,                0.72346,                 1.1318,                0.48772,                0.96575,                0.85811,                0.79434,                0.82635,                0.61584,                0.84256,                 0.7941,                0.81172,                0.51647,                 1.0148,                 1.8955,                0.76485,                 1.1808,             0.00014028,             0.00014028,             0.00014028
                     45,                0.71297,                  1.105,                  0.473,                 0.9531,                0.85617,                0.79782,                0.82575,                0.61175,                0.84933,                0.79133,                0.81319,                0.50922,                 1.0345,                 1.9427,                0.76754,                  1.194,             0.00012378,             0.00012378,             0.00012378
                     46,                0.70792,                 1.1075,                0.47196,                0.95318,                0.86794,                0.78258,                0.82917,                0.61454,                0.85392,                0.77619,                 0.8181,                0.51469,                 1.0173,                  1.947,                 0.7646,                 1.1884,             0.00010729,             0.00010729,             0.00010729
                     47,                0.69243,                 1.0862,                0.46232,                0.95186,                0.86463,                0.79826,                0.82993,                0.61853,                0.84541,                0.79023,                0.81505,                0.51411,                 1.0213,                  1.965,                0.75729,                 1.1924,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     48,                0.68667,                 1.0688,                0.44835,                0.94492,                0.88138,                0.78631,                0.83277,                0.62166,                0.81986,                0.82756,                0.81978,                0.51342,                 1.0161,                  1.969,                0.74733,                 1.1851,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     49,                0.67034,                  1.067,                0.44059,                0.93288,                0.87054,                0.79355,                0.83139,                0.62014,                0.83332,                0.81083,                0.81532,                0.51431,                   1.01,                 1.9852,                0.74838,                 1.1802,              5.781e-05,              5.781e-05,              5.781e-05
                     50,                0.66884,                  1.068,                 0.4403,                0.92862,                0.83604,                0.81212,                0.82704,                0.61925,                0.83394,                0.79936,                0.81577,                0.51548,                 1.0101,                 1.9794,                0.75296,                 1.1824,             4.1317e-05,             4.1317e-05,             4.1317e-05
